experiment,is_first,delay
bj10_lon8_exp1,T,0.400229215622
bj10_lon8_exp1,T,0.501386165619
bj10_lon8_exp1,T,0.506813049258
bj10_lon8_exp1,T,0.508821964264
bj10_lon8_exp1,T,0.530929803499
bj10_lon8_exp1,T,0.536546945688
bj10_lon8_exp1,T,0.552165031448
bj10_lon8_exp1,T,0.552786827087
bj10_lon8_exp1,T,0.559975862503
bj10_lon8_exp1,T,0.566581726074
bj10_lon8_exp1,T,0.566770791775
bj10_lon8_exp1,T,0.567234754621
bj10_lon8_exp1,T,0.582768917084
bj10_lon8_exp1,T,0.588268041611
bj10_lon8_exp1,T,0.589220762246
bj10_lon8_exp1,T,0.591853857273
bj10_lon8_exp1,T,0.597328185919
bj10_lon8_exp1,T,0.599365949631
bj10_lon8_exp1,T,0.602550983429
bj10_lon8_exp1,T,0.603566169739
bj10_lon8_exp1,T,0.606056213437
bj10_lon8_exp1,T,0.607402324618
bj10_lon8_exp1,T,0.612802743912
bj10_lon8_exp1,T,0.618398189778
bj10_lon8_exp1,T,0.619776964188
bj10_lon8_exp1,T,0.620429039001
bj10_lon8_exp1,T,0.620850086445
bj10_lon8_exp1,T,0.620904922485
bj10_lon8_exp1,T,0.625840902561
bj10_lon8_exp1,T,0.635083198547
bj10_lon8_exp1,T,0.635785102961
bj10_lon8_exp1,T,0.643661021953
bj10_lon8_exp1,T,0.643805980450
bj10_lon8_exp1,T,0.644562959613
bj10_lon8_exp1,T,0.647594928625
bj10_lon8_exp1,T,0.656734943390
bj10_lon8_exp1,T,0.658385276794
bj10_lon8_exp1,T,0.659721851232
bj10_lon8_exp1,T,0.664206981659
bj10_lon8_exp1,T,0.664675951237
bj10_lon8_exp1,T,0.666261196136
bj10_lon8_exp1,T,0.670295953518
bj10_lon8_exp1,T,0.671927928925
bj10_lon8_exp1,T,0.672598838923
bj10_lon8_exp1,T,0.678071022048
bj10_lon8_exp1,T,0.679496049648
bj10_lon8_exp1,T,0.679584979778
bj10_lon8_exp1,T,0.681841850514
bj10_lon8_exp1,T,0.682048082352
bj10_lon8_exp1,T,0.683271169430
bj10_lon8_exp1,T,0.691658258438
bj10_lon8_exp1,T,0.692892074585
bj10_lon8_exp1,T,0.693961858749
bj10_lon8_exp1,T,0.698151826859
bj10_lon8_exp1,T,0.703200101852
bj10_lon8_exp1,T,0.704679965740
bj10_lon8_exp1,T,0.708721160889
bj10_lon8_exp1,T,0.712486028729
bj10_lon8_exp1,T,0.718757629395
bj10_lon8_exp1,T,0.724020957947
bj10_lon8_exp1,T,0.724491834873
bj10_lon8_exp1,T,0.730825901090
bj10_lon8_exp1,T,0.737915754551
bj10_lon8_exp1,T,0.740128040430
bj10_lon8_exp1,T,0.745898246765
bj10_lon8_exp1,T,0.749425411224
bj10_lon8_exp1,T,0.752168893785
bj10_lon8_exp1,T,0.761507034069
bj10_lon8_exp1,T,0.765392065281
bj10_lon8_exp1,T,0.770102262497
bj10_lon8_exp1,T,0.772835731506
bj10_lon8_exp1,T,0.774341106415
bj10_lon8_exp1,T,0.776183128357
bj10_lon8_exp1,T,0.781743049622
bj10_lon8_exp1,T,0.783620834467
bj10_lon8_exp1,T,0.787921190728
bj10_lon8_exp1,T,0.789784908295
bj10_lon8_exp1,T,0.791756868130
bj10_lon8_exp1,T,0.797177076340
bj10_lon8_exp1,T,0.806214094162
bj10_lon8_exp1,T,0.817435741366
bj10_lon8_exp1,T,0.827788114548
bj10_lon8_exp1,T,0.828696965938
bj10_lon8_exp1,T,0.843039035331
bj10_lon8_exp1,T,0.845435857773
bj10_lon8_exp1,T,0.847127676010
bj10_lon8_exp1,T,0.847753047943
