frame_num;frame_epoch_time;ip_src;tcp_srcport;ip_ttl;ip_id;DF;tcp_tsval;tcp_seq;tcp_flags;tcp_stream;payload_len
53580;1569146010.9869149;123.144.23.119;37088;52;0x000082ba;1;1203198558.0;3212957924;0x00000002;931;0
53586;1569146011.1786711;123.144.23.119;37212;53;0x00002a8f;1;1203198608.0;2521460767;0x00000002;932;0
53592;1569146011.381872;123.144.23.119;37329;53;0x00003393;1;1203198658.0;4220348753;0x00000002;933;0
201800;1569147012.0000908;111.224.221.124;35216;53;0x00008f1a;1;1203441872.0;435265482;0x00000002;2938;0
201828;1569147027.118222;221.234.225.252;41878;53;0x000007cc;1;1203445646.0;1422989378;0x00000002;2939;0
201834;1569147027.24293;221.234.225.252;41956;53;0x000071f5;1;1203445678.0;4066078299;0x00000002;2940;0
271925;1569147743.279071;119.118.23.144;53420;52;0x00006d81;1;1203631649.0;2473499552;0x00000002;4176;0
271932;1569147744.4405289;124.88.113.43;8414;52;0x0000c014;1;1203624957.0;1965038569;0x00000002;4177;0
271938;1569147744.7084932;124.88.113.43;5254;52;0x0000ef30;1;1203625026.0;3681825650;0x00000002;4178;0
271944;1569147744.98295;124.88.113.43;8556;52;0x0000a084;1;1203625092.0;197098496;0x00000002;4179;0
279008;1569147835.7201092;221.197.252.163;48952;53;0x0000cfbb;1;1203645987.0;2334122392;0x00000002;4413;0
327197;1569148256.038271;221.213.75.144;39998;52;0x0000624a;1;1203751059.0;2825366233;0x00000002;5079;0
327203;1569148256.303227;221.213.75.144;40152;52;0x0000f5cd;1;1203751125.0;3837345048;0x00000002;5080;0
355432;1569148548.965994;101.249.56.88;1960;52;0x000060c0;1;1203833055.0;3628886047;0x00000002;5803;0
21194;1569149526.3715148;221.11.51.25;44490;53;0x00004513;1;1204070454.0;442166565;0x00000002;301;0
21200;1569149526.464258;221.11.51.25;44522;52;0x00008dca;1;1204070477.0;182658439;0x00000002;302;0
113122;1569150297.183839;221.213.75.12;51076;52;0x0000598a;1;1204270113.0;3785158059;0x00000002;1513;0
113232;1569150297.44844;221.213.75.12;51190;52;0x0000e81a;1;1204270180.0;3034471550;0x00000002;1515;0
235785;1569151038.399404;223.166.75.88;51944;55;0x0000fd9e;1;3229715675.0;2320396613;0x00000002;3431;0
255618;1569151293.392142;124.90.52.180;60834;53;0x0000ec28;1;1204519167.0;3381816535;0x00000002;3853;0
255624;1569151293.5942;124.90.52.180;60918;53;0x000000c1;1;1204519216.0;1852015089;0x00000002;3854;0
261348;1569151340.843103;58.248.202.79;54924;53;0x00008454;1;1204524011.0;2848921535;0x00000002;3959;0
261358;1569151340.974551;58.248.202.79;55030;53;0x000030ea;1;1204524045.0;2567939303;0x00000002;3960;0
451786;1569152846.423558;36.32.3.48;33692;52;0x0000b3e3;1;1204898646.0;20183221;0x00000002;6739;0
1097;1569152871.2346268;101.24.130.204;11755;53;0x0000c0e8;1;1204913508.0;2213954956;0x00000002;54;0
62552;1569153410.0555549;123.232.224.192;56756;55;0x0000236e;1;1205061968.0;3426150974;0x00000002;1101;0
62558;1569153410.1293948;123.232.224.192;56782;55;0x0000a0f0;1;1205061987.0;3468192147;0x00000002;1102;0
119788;1569153760.515813;113.140.248.220;35753;53;0x00008a64;1;1205135820.0;103113393;0x00000002;2019;0
119796;1569153760.6331718;113.140.248.220;35782;53;0x0000ebca;1;1205135848.0;2004681250;0x00000002;2020;0
120162;1569153764.1591449;123.138.72.198;45172;52;0x0000954a;1;1205150491.0;2751706705;0x00000002;2023;0
120184;1569153764.2932;122.96.29.135;42780;52;0x0000ac5a;1;1205133281.0;1556902843;0x00000002;2024;0
120205;1569153764.468808;123.138.72.198;45317;53;0x00001bab;1;1205150566.0;651573453;0x00000002;2025;0
120214;1569153764.59184;123.138.72.198;45368;53;0x0000b3cf;1;1205150598.0;535269449;0x00000002;2026;0
150328;1569153938.0381548;124.235.138.29;48602;53;0x0000f81a;1;1205180189.0;2998824711;0x00000002;2276;0
212301;1569154717.403935;183.185.20.25;40242;53;0x0000ab2d;1;1205371529.0;3022072228;0x00000002;3568;0
212491;1569154718.6745138;183.185.20.25;40434;53;0x0000f798;1;1205371882.0;2100458855;0x00000002;3573;0
297111;1569155683.806522;113.128.105.156;39854;53;0x00004ccf;1;1205630389.0;2435791226;0x00000002;4969;0
297497;1569155684.814199;113.128.105.156;39854;53;0x00004cd0;1;1205630639.0;2435791226;0x00000002;4969;0
298114;1569155687.440122;113.128.105.156;41076;53;0x00002284;1;1205631297.0;2496289733;0x00000002;4983;0
302587;1569155805.750377;113.128.105.156;35760;53;0x00009df0;1;1205660874.0;1392603450;0x00000002;5067;0
302594;1569155805.842857;113.128.105.156;35798;53;0x0000172f;1;1205660896.0;93584335;0x00000002;5068;0
9383;1569156688.99992;221.234.227.229;49558;53;0x0000f595;1;1205881678.0;1571602139;0x00000002;276;0
9389;1569156689.146515;221.234.227.229;49646;53;0x00007704;1;1205881716.0;1283865712;0x00000002;277;0
140405;1569158152.05676;218.58.38.119;53560;55;0x0000783e;1;1206247470.0;1381996560;0x00000002;2284;0
140412;1569158152.1183558;218.58.38.119;53578;55;0x000029f0;1;1206247488.0;3911502256;0x00000002;2285;0
140534;1569158156.5346541;221.13.12.222;45937;51;0x0000cefc;1;1206231302.0;268660730;0x00000002;2296;0
140541;1569158156.7429092;221.13.12.222;46080;52;0x000067f6;1;1206231354.0;2576336588;0x00000002;2297;0
146592;1569158242.6608212;1.31.114.226;30565;53;0x0000ecbd;1;833139795.0;1440569582;0x00000002;2392;0
296396;1569159918.4919848;221.213.75.196;43882;52;0x0000e590;1;1206675453.0;2424144493;0x00000002;4880;0
296415;1569159918.7752838;221.213.75.196;44068;52;0x000019b6;1;1206675521.0;310145527;0x00000002;4882;0
4810;1569160098.181086;27.224.136.151;56412;53;0x0000e565;1;1206713408.0;1983256869;0x00000002;93;0
4821;1569160098.30456;27.224.136.151;56508;53;0x0000e237;1;1206713441.0;623058518;0x00000002;94;0
