host,asn,asname,cc,registry
220.200.158.224,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
175.152.109.85,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
175.42.1.221,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
112.80.138.252,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
222.172.160.168,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
113.120.14.56,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
220.200.161.237,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
222.79.48.173,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
113.128.104.87,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
123.160.173.49,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
182.88.76.242,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
222.79.48.24,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
119.39.46.28,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
124.225.45.89,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
119.118.11.94,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
175.42.1.182,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
110.80.152.181,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
222.82.53.109,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
58.48.128.219,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
123.145.19.97,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
171.12.10.212,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
58.212.14.23,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
106.45.0.26,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
113.128.104.231,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
121.57.227.47,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
171.34.177.42,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
221.13.12.102,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
121.57.231.183,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
220.250.63.5,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
118.81.1.181,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
182.88.232.128,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
180.95.238.24,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
116.252.2.67,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
27.224.137.151,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
175.184.165.193,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
182.88.232.31,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
122.96.29.38,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
182.101.62.190,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
110.80.154.219,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
182.138.163.164,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
175.152.108.152,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.145.12.123,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
221.213.75.59,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.158.60.98,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
124.225.43.119,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
123.158.61.88,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
221.13.12.246,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
122.96.29.136,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
111.224.235.177,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
211.97.22.76,AS17816,"CHINA169-GZ China Unicom IP network China169 Guangdong province, CN",CN,apnic
183.185.108.167,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
175.184.166.81,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
