host,asn,asname,cc,registry
123.232.227.4,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.145.13.92,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
1.202.114.105,AS4847,"CNIX-AP China Networks Inter-Exchange, CN",CN,apnic
171.12.10.107,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
112.66.97.27,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
116.252.2.229,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
118.81.86.172,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
122.96.29.135,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
113.24.80.55,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
220.250.10.244,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
123.163.114.117,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
223.166.74.183,AS17621,"CNCGROUP-SH China Unicom Shanghai network, CN",CN,apnic
123.233.52.102,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
110.177.75.126,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
58.249.101.203,AS17622,"CNCGROUP-GZ China Unicom Guangzhou network, CN",CN,apnic
119.39.47.16,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
119.96.104.74,AS58563,"CHINATELECOM-HUBEI-IDC CHINANET Hubei province network, CN",CN,apnic
223.166.74.96,AS17621,"CNCGROUP-SH China Unicom Shanghai network, CN",CN,apnic
123.158.61.196,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
150.255.1.234,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
116.252.2.65,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
123.160.174.241,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
116.252.0.95,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
119.39.46.76,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
113.206.199.149,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
171.34.176.22,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
110.80.154.86,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
175.42.1.254,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
150.255.6.37,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
110.80.153.73,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
110.177.80.223,AS4134,"CHINANET-BACKBONE No.31,Jin-rong Street, CN",CN,apnic
171.34.177.13,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
220.200.152.118,AS4837,"CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN",CN,apnic
